Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
2019-01-15,Fresh fruits,8524.0,366.0,0.543,5.0,Fresh fruits and vegetables,4607.0
2019-01-15,Apples,4999.0,340.728,0.076,6.0,Fresh fruits,8524.0
2019-01-15,Bananas,3997.0,194.69,0.079,6.0,Fresh fruits,8524.0
2019-01-15,Citrus fruits,379.0,271.37,0.149,6.0,Fresh fruits,8524.0
2019-01-15,"Oranges, including tangerines",8352.0,536.919,0.155,7.0,Citrus fruits,379.0
2019-01-15,Other fresh fruits,3215.0,117.451,0.238,6.0,Fresh fruits,8524.0
2019-01-15,Fresh vegetables,6147.0,331.123,0.491,5.0,Fresh fruits and vegetables,4607.0
2019-01-15,Potatoes,8287.0,354.543,0.079,6.0,Fresh vegetables,6147.0
2019-01-15,Lettuce,3380.0,303.744,0.065,6.0,Fresh vegetables,6147.0
2019-01-15,Tomatoes,5692.0,359.433,0.08,6.0,Fresh vegetables,6147.0
2019-01-15,Other fresh vegetables,1494.0,339.717,0.267,6.0,Fresh vegetables,6147.0
2019-01-15,Processed fruits and vegetables,9100.0,153.575,0.271,5.0,Fresh fruits and vegetables,4607.0
2019-01-15,Canned fruits and vegetables,2361.0,160.061,0.151,6.0,Processed fruits and vegetables,9100.0
2019-01-15,Canned fruits,8257.0,154.654,0.073,7.0,Canned fruits and vegetables,2361.0
2019-01-15,Canned vegetables,2158.0,168.765,0.073,7.0,Canned fruits and vegetables,2361.0
2019-01-15,Frozen fruits and vegetables,92.0,142.985,0.077,6.0,Processed fruits and vegetables,9100.0
2019-01-15,Frozen vegetables,8965.0,194.064,0.077,7.0,Frozen fruits and vegetables,92.0
2019-01-15,Other processed fruits and vegetables including dried,3337.0,152.881,0.043,6.0,Processed fruits and vegetables,9100.0
2019-01-15,"Dried beans, peas, and lentils",5319.0,178.921,0.044,7.0,Other processed fruits and vegetables including dried,3337.0
2019-01-15,Nonalcoholic beverages and beverage materials,6387.0,170.307,0.884,3.0,Food at home,4200.0
2019-01-15,Juices and nonalcoholic drinks,8886.0,133.212,0.633,4.0,Nonalcoholic beverages and beverage materials,6387.0
2019-01-15,Carbonated drinks,6104.0,170.091,0.267,5.0,Juices and nonalcoholic drinks,8886.0
2019-01-15,Frozen noncarbonated juices and drinks,8552.0,180.513,0.009,5.0,Juices and nonalcoholic drinks,8886.0
2019-01-15,Nonfrozen noncarbonated juices and drinks,7335.0,119.97,0.358,5.0,Juices and nonalcoholic drinks,8886.0
2019-01-15,Beverage materials including coffee and tea,7177.0,116.169,0.251,4.0,Nonalcoholic beverages and beverage materials,6387.0
2019-01-15,Coffee,6082.0,193.381,0.161,5.0,Beverage materials including coffee and tea,7177.0
2019-01-15,Roasted coffee,1986.0,201.63,0.0805,6.0,Coffee,6082.0
2019-01-15,Instant and freeze dried coffee,4343.0,187.873,0.0805,6.0,Coffee,6082.0
2019-01-15,Other beverage materials including tea,7028.0,129.348,0.09,5.0,Beverage materials including coffee and tea,7177.0
2019-01-15,Other food at home,4196.0,210.739,1.833,3.0,Food at home,4200.0
2019-01-15,Sugar and sweets,7995.0,217.745,0.279,4.0,Other food at home,4196.0
2019-01-15,Sugar and artificial sweeteners,3199.0,183.691,0.042,5.0,Sugar and sweets,7995.0
2019-01-15,Candy and chewing gum,741.0,148.139,0.184,5.0,Sugar and sweets,7995.0
2019-01-15,Other sweets,315.0,152.784,0.054,5.0,Sugar and sweets,7995.0
2019-01-15,Fats and oils,3612.0,228.586,0.214,4.0,Other food at home,4196.0
2019-01-15,Butter and margarine,3369.0,205.751,0.061,5.0,Fats and oils,3612.0
2019-01-15,Butter,4789.0,245.519,0.03,6.0,Butter and margarine,3369.0
2019-01-15,Margarine,1265.0,299.235,0.03,6.0,Butter and margarine,3369.0
2019-01-15,Salad dressing,7.0,129.262,0.052,5.0,Fats and oils,3612.0
2019-01-15,Other fats and oils including peanut butter,6039.0,158.953,0.101,5.0,Fats and oils,3612.0
2019-01-15,Peanut butter,3774.0,155.843,0.1,6.0,Other fats and oils including peanut butter,6039.0
2019-01-15,Other foods,9728.0,224.929,1.34,5.0,Fats and oils,3612.0
2019-01-15,Soups,1351.0,244.827,0.081,6.0,Other foods,9728.0
2019-01-15,Frozen and freeze dried prepared foods,1434.0,164.873,0.234,6.0,Other foods,9728.0
2019-01-15,Snacks,7570.0,251.247,0.31,6.0,Other foods,9728.0
2019-01-15,"Spices, seasonings, condiments, sauces",4846.0,241.645,0.272,6.0,Other foods,9728.0
2019-01-15,Salt and other seasonings and spices,5517.0,154.143,0.067,7.0,"Spices, seasonings, condiments, sauces",4846.0
2019-01-15,Sauces and gravies,8728.0,138.32,0.067,7.0,"Spices, seasonings, condiments, sauces",4846.0
2019-01-15,Other condiments,2190.0,275.141,0.067,7.0,"Spices, seasonings, condiments, sauces",4846.0
2019-01-15,Baby food,4929.0,167.895,0.051,6.0,Other foods,9728.0
2019-01-15,Other miscellaneous foods,5930.0,130.856,0.393,6.0,Other foods,9728.0
2019-01-15,Prepared salads,2722.0,126.934,0.401,7.0,Other miscellaneous foods,5930.0
2019-01-15,Food away from home,1345.0,280.38,6.06,2.0,Food,4934.0
2019-01-15,Full service meals and snacks,3598.0,173.624,3.009,3.0,Food away from home,1345.0
2019-01-15,Limited service meals and snacks,8446.0,179.659,2.581,3.0,Food away from home,1345.0
2019-01-15,Food at employee sites and schools,9101.0,179.042,0.182,3.0,Food away from home,1345.0
2019-01-15,Food at elementary and secondary schools,4625.0,148.889,0.183,4.0,Food at employee sites and schools,9101.0
2019-01-15,Food from vending machines and mobile vendors,6369.0,163.357,0.092,3.0,Food away from home,1345.0
2019-01-15,Other food away from home,1346.0,194.422,0.197,3.0,Food away from home,1345.0
2019-01-15,Energy,7558.0,206.842,7.19,1.0,All items,8106.0
2019-01-15,Energy commodities,8995.0,218.4,3.829,2.0,Energy,7558.0
2019-01-15,Fuel oil and other fuels,416.0,275.096,0.188,3.0,Energy commodities,8995.0
2019-01-15,Fuel oil,5177.0,272.284,0.113,4.0,Fuel oil and other fuels,416.0
2019-01-15,"Propane, kerosene, and firewood",2320.0,329.839,0.075,4.0,Fuel oil and other fuels,416.0
2019-01-15,Motor fuel,3840.0,213.976,3.641,3.0,Private transportation,3815.0
2019-01-15,Gasoline all types,789.0,212.45,3.931,4.0,Motor fuel,3840.0
2019-01-15,"Gasoline, unleaded regular",4879.0,207.25,1.22366666666667,5.0,Gasoline,9206.0
2019-01-15,"Gasoline, unleaded midgrade",5687.0,233.64,1.22366666666667,5.0,Gasoline,9206.0
2019-01-15,"Gasoline, unleaded premium",6324.0,230.239,1.22366666666667,5.0,Gasoline,9206.0
2019-01-15,Other motor fuels,8206.0,219.069,0.085,4.0,Motor fuel,3840.0
2019-01-15,Energy services,4748.0,205.906,3.361,2.0,Energy,7558.0
2019-01-15,Electricity,1202.0,214.117,2.594,3.0,Energy services,4748.0
2019-01-15,All items less food and energy,5306.0,260.701,79.446,1.0,All items,8106.0
2019-01-15,Commodities less food and energy commodities,4935.0,144.837,19.624,2.0,All items less food and energy,5306.0
2019-01-15,Household furnishings and supplies,5562.0,90.539,3.394,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,Window and floor coverings and other linens,8669.0,58.335,0.257,4.0,Household furnishings and supplies,5562.0
2019-01-15,Floor coverings,7171.0,113.14,0.055,5.0,Window and floor coverings and other linens,8669.0
2019-01-15,Window coverings,6848.0,62.984,0.046,5.0,Window and floor coverings and other linens,8669.0
2019-01-15,Other linens,5777.0,45.195,0.156,5.0,Window and floor coverings and other linens,8669.0
2019-01-15,Furniture and bedding,730.0,111.901,0.895,4.0,Household furnishings and supplies,5562.0
2019-01-15,Bedroom furniture,6797.0,129.628,0.324,5.0,Furniture and bedding,730.0
2019-01-15,"Living room, kitchen, and dining room furniture",2452.0,86.55,0.433,5.0,Furniture and bedding,730.0
2019-01-15,Other furniture,7326.0,67.679,0.128,5.0,Furniture and bedding,730.0
2019-01-15,Appliances,3958.0,78.659,0.219,4.0,Household furnishings and supplies,5562.0
2019-01-15,Major appliances,5082.0,87.008,0.081,5.0,Appliances,3958.0
2019-01-15,Laundry equipment,8105.0,97.007,0.081,6.0,Major appliances,5082.0
2019-01-15,Other appliances,1467.0,67.09,0.134,5.0,Appliances,3958.0
2019-01-15,Other household equipment and furnishings,6715.0,50.974,0.507,4.0,Household furnishings and supplies,5562.0
2019-01-15,"Clocks, lamps, and decorator items",4790.0,37.267,0.28,5.0,Other household equipment and furnishings,6715.0
2019-01-15,Indoor plants and flowers,6096.0,130.532,0.094,5.0,Other household equipment and furnishings,6715.0
2019-01-15,Dishes and flatware,3747.0,46.719,0.052,5.0,Other household equipment and furnishings,6715.0
2019-01-15,Nonelectric cookware and tableware,9874.0,84.589,0.081,5.0,Other household equipment and furnishings,6715.0
2019-01-15,"Tools, hardware, outdoor equipment and supplies",6044.0,90.682,0.676,4.0,Household furnishings and supplies,5562.0
2019-01-15,"Tools, hardware and supplies",5668.0,99.876,0.2,5.0,"Tools, hardware, outdoor equipment and supplies",6044.0
2019-01-15,Outdoor equipment and supplies,4623.0,86.169,0.313,5.0,"Tools, hardware, outdoor equipment and supplies",6044.0
2019-01-15,Housekeeping supplies,2307.0,189.417,0.839,4.0,Household furnishings and supplies,5562.0
2019-01-15,Household cleaning products,6610.0,120.03,0.331,5.0,Housekeeping supplies,2307.0
2019-01-15,Household paper products,5202.0,173.17,0.222,5.0,Housekeeping supplies,2307.0
2019-01-15,Miscellaneous household products,8293.0,120.403,0.286,5.0,Housekeeping supplies,2307.0
2019-01-15,Apparel,5516.0,125.934,3.065,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,Men’s and boys’ apparel,2395.0,118.475,0.784,4.0,Apparel,5516.0
2019-01-15,Men’s apparel,7821.0,118.908,0.603,5.0,Men’s and boys’ apparel,2395.0
2019-01-15,"Men’s suits, sport coats, and outerwear",2606.0,106.852,0.112,6.0,Men's apparel,7821.0
2019-01-15,Men’s shirts and sweaters,7018.0,76.302,0.175,6.0,Men's apparel,7821.0
2019-01-15,Men’s pants and shorts,6934.0,116.661,0.156,6.0,Men's apparel,7821.0
2019-01-15,Boys’ apparel,3935.0,114.327,0.181,5.0,Men’s and boys’ apparel,2395.0
2019-01-15,Women’s and girls’ apparel,7374.0,109.86,1.226,4.0,Apparel,5516.0
2019-01-15,Women’s apparel,8387.0,113.068,1.045,5.0,Women’s and girls’ apparel,7374.0
2019-01-15,Women’s outerwear,7718.0,111.498,0.073,6.0,Women's apparel,8387.0
2019-01-15,Women’s dresses,452.0,122.01,0.127,6.0,Women's apparel,8387.0
2019-01-15,Women’s suits and separates,9350.0,79.554,0.55,6.0,Women's apparel,8387.0
2019-01-15,"Women’s underwear, nightwear, sportswear and accessories",9498.0,104.389,0.283,6.0,Women's apparel,8387.0
2019-01-15,Girls’ apparel,7561.0,93.798,0.181,5.0,Women’s and girls’ apparel,7374.0
2019-01-15,Footwear,7182.0,138.557,0.674,4.0,Apparel,5516.0
2019-01-15,Men’s footwear,369.0,142.98,0.219,5.0,Footwear,7182.0
2019-01-15,Boys’ and girls’ footwear,9448.0,157.946,0.162,5.0,Footwear,7182.0
2019-01-15,Women’s footwear,4044.0,124.606,0.293,5.0,Footwear,7182.0
2019-01-15,Infants’ and toddlers’ apparel,2101.0,119.332,0.138,4.0,Apparel,5516.0
2019-01-15,Jewelry and watches,546.0,172.635,0.243,4.0,Apparel,5516.0
2019-01-15,Watches,6459.0,136.069,0.092,5.0,Jewelry and watches,546.0
2019-01-15,Jewelry,3237.0,175.954,0.151,5.0,Jewelry and watches,546.0
2019-01-15,Transportation commodities less motor fuel,690.0,105.248,6.621,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,New vehicles,4291.0,146.727,3.729,4.0,New and used motor vehicles,2973.0
2019-01-15,New cars and trucks,8642.0,101.69,3.724,5.0,New vehicles,4291.0
2019-01-15,New cars,5782.0,142.567,1.862,6.0,New cars and trucks,8642.0
2019-01-15,New trucks,9870.0,156.199,1.862,6.0,New cars and trucks,8642.0
2019-01-15,Used cars and trucks,2211.0,141.563,2.397,4.0,New vehicles,4291.0
2019-01-15,Motor vehicle parts and equipment,449.0,145.591,0.382,4.0,New vehicles,4291.0
2019-01-15,Tires,6900.0,124.369,0.227,5.0,Motor vehicle parts and equipment,449.0
2019-01-15,Vehicle accessories other than tires,1564.0,174.403,0.155,5.0,Motor vehicle parts and equipment,449.0
2019-01-15,Vehicle parts and equipment other than tires,307.0,164.328,0.078,6.0,Vehicle accessories other than tires,1564.0
2019-01-15,"Motor oil, coolant, and fluids",9435.0,400.581,0.078,6.0,Vehicle accessories other than tires,1564.0
2019-01-15,Medical care commodities,5635.0,380.55,1.696,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,Medicinal drugs,5658.0,124.577,1.638,4.0,Medical care commodities,5635.0
2019-01-15,Prescription drugs,1369.0,525.861,1.302,5.0,Medicinal drugs,5658.0
2019-01-15,Nonprescription drugs,8558.0,96.59,0.337,5.0,Medicinal drugs,5658.0
2019-01-15,Medical equipment and supplies,3514.0,101.924,0.057,4.0,Medical care commodities,5635.0
2019-01-15,Recreation commodities,6582.0,80.684,1.796,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,Video and audio products,5590.0,41.668,0.222,4.0,Recreation commodities,6582.0
2019-01-15,Televisions,5433.0,1.797,0.096,5.0,Video and audio products,5590.0
2019-01-15,Other video equipment,4138.0,9.822,0.027,5.0,Video and audio products,5590.0
2019-01-15,Audio equipment,7859.0,27.472,0.044,5.0,Video and audio products,5590.0
2019-01-15,Recorded music and music subscriptions,737.0,82.799,0.047,5.0,Video and audio products,5590.0
2019-01-15,Pets and pet products,7156.0,200.421,0.608,4.0,Recreation commodities,6582.0
2019-01-15,Pet food,4226.0,151.723,0.3025,5.0,Pets and pet products,7156.0
2019-01-15,"Purchase of pets, pet supplies, accessories",8808.0,116.707,0.3025,5.0,Pets and pet products,7156.0
2019-01-15,Sporting goods,172.0,113.352,0.493,4.0,Recreation commodities,6582.0
2019-01-15,Sports vehicles including bicycles,4414.0,154.466,0.286,5.0,Sporting goods,172.0
2019-01-15,Sports equipment,2216.0,78.81,0.2,5.0,Sporting goods,172.0
2019-01-15,Photographic equipment and supplies,8921.0,53.634,0.032,4.0,Recreation commodities,6582.0
2019-01-15,Photographic equipment,6539.0,22.455,0.0165,5.0,Photographic equipment and supplies,8921.0
2019-01-15,Recreational reading materials,7963.0,256.169,0.115,4.0,Recreation commodities,6582.0
2019-01-15,Newspapers and magazines,7582.0,186.346,0.07,5.0,Recreational reading materials,7963.0
2019-01-15,Recreational books,3331.0,97.419,0.045,5.0,Recreational reading materials,7963.0
2019-01-15,Other recreational goods,4278.0,36.339,0.326,4.0,Recreation commodities,6582.0
2019-01-15,Toys,3103.0,32.426,0.255,5.0,Other recreational goods,4278.0
2019-01-15,"Toys, games, hobbies and playground equipment",8350.0,39.937,0.252,6.0,Toys,3103.0
2019-01-15,"Sewing machines, fabric and supplies",8663.0,102.169,0.025,5.0,Other recreational goods,4278.0
2019-01-15,Music instruments and accessories,3628.0,98.962,0.035,5.0,Other recreational goods,4278.0
2019-01-15,Education and communication commodities,4699.0,73.424,0.527,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,Educational books and supplies,5985.0,687.07,0.13,4.0,Education and communication commodities,4699.0
2019-01-15,College textbooks,7979.0,236.214,0.131,5.0,Educational books and supplies,5985.0
2019-01-15,Information technology commodities,7569.0,53.16,0.397,4.0,Education and communication commodities,4699.0
2019-01-15,Computer software and accessories,6021.0,31.014,0.024,5.0,Information technology commodities,7569.0
2019-01-15,"Telephone hardware, calculators, and other consumer information items",2940.0,17.358,0.07,5.0,Information technology commodities,7569.0
2019-01-15,Alcoholic beverages,7635.0,251.361,0.972,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,Alcoholic beverages at home,2422.0,204.39,0.607,4.0,Alcoholic beverages,7635.0
2019-01-15,"Beer, ale, and other malt beverages at home",2456.0,228.498,0.27,5.0,Alcoholic beverages at home,2422.0
2019-01-15,Distilled spirits at home,6418.0,194.269,0.082,5.0,Alcoholic beverages at home,2422.0
2019-01-15,Whiskey at home,2132.0,207.263,0.0405,6.0,Distilled spirits at home,6418.0
2019-01-15,"Distilled spirits, excluding whiskey, at home",2863.0,189.766,0.0405,6.0,Distilled spirits at home,6418.0
2019-01-15,Wine at home,9946.0,170.706,0.255,5.0,Alcoholic beverages at home,2422.0
2019-01-15,Alcoholic beverages away from home,5080.0,354.166,0.365,4.0,Alcoholic beverages,7635.0
2019-01-15,"Beer, ale, and other malt beverages away from home",9333.0,175.305,0.122666666666667,5.0,Alcoholic beverages away from home,5080.0
2019-01-15,Wine away from home,2743.0,190.953,0.122666666666667,5.0,Alcoholic beverages away from home,5080.0
2019-01-15,Distilled spirits away from home,6508.0,189.292,0.122666666666667,5.0,Alcoholic beverages away from home,5080.0
2019-01-15,Other goods,5557.0,112.449,1.553,3.0,Commodities less food and energy commodities,4935.0
2019-01-15,Tobacco and smoking products,949.0,1083.505,0.66,4.0,Other goods,5557.0
2019-01-15,Cigarettes,4451.0,443.02,0.585,5.0,Tobacco and smoking products,949.0
2019-01-15,Tobacco products other than cigarettes,620.0,279.065,0.06,5.0,Tobacco and smoking products,949.0
2019-01-15,Personal care products,1231.0,161.397,0.684,4.0,Other goods,5557.0
2019-01-15,"Hair, dental, shaving, and miscellaneous personal care products",6501.0,103.02,0.38,5.0,Personal care products,1231.0
2019-01-15,"Cosmetics, perfume, bath, nail preparations and implements",9308.0,184.632,0.298,5.0,Personal care products,1231.0
2019-01-15,Miscellaneous personal goods,1381.0,71.277,0.208,4.0,Other goods,5557.0
2019-01-15,"Stationery, stationery supplies, gift wrap",8917.0,147.127,0.0995,5.0,Miscellaneous personal goods,1381.0
2019-01-15,Infants’ equipment,1551.0,71.391,0.0995,5.0,Miscellaneous personal goods,1381.0
2019-01-15,Services less energy services,1033.0,332.762,59.822,2.0,All items less food and energy,5306.0
2019-01-15,Shelter,8742.0,312.891,33.293,3.0,Services less energy services,1033.0
2019-01-15,Rent of shelter,8577.0,326.12,32.919,4.0,Shelter,8742.0
2019-01-15,Rent of primary residence,4363.0,325.184,7.932,5.0,Rent of shelter,8577.0
2019-01-15,Lodging away from home,5762.0,162.595,0.962,5.0,Rent of shelter,8577.0
2019-01-15,"Housing at school, excluding board",9153.0,556.436,0.114,6.0,Lodging away from home,5762.0
2019-01-15,Other lodging away from home including hotels and motels,4418.0,332.344,0.848,6.0,Lodging away from home,5762.0
2019-01-15,Owners’ equivalent rent of primary residence,2972.0,320.52,22.685,6.0,Rent of shelter,8577.0
2019-01-15,Tenants’ and household insurance,7981.0,151.641,0.373,5.0,Rent of shelter,8577.0
2019-01-15,Water and sewer and trash collection services,3706.0,241.354,1.094,4.0,Shelter,8742.0
2019-01-15,Water and sewerage maintenance,6884.0,560.341,0.826,5.0,Water and sewer and trash collection services,3706.0
2019-01-15,Garbage and trash collection,5291.0,475.687,0.268,5.0,Water and sewer and trash collection services,3706.0
2019-01-15,Household operations,8871.0,191.562,0.888,4.0,Shelter,8742.0
2019-01-15,Domestic services,500.0,169.954,0.305,5.0,Household operations,8871.0
2019-01-15,Gardening and lawncare services,2729.0,,0.298,5.0,Household operations,8871.0
2019-01-15,"Moving, storage, freight expense",133.0,172.529,0.102,5.0,Household operations,8871.0
2019-01-15,Repair of household items,5703.0,257.577,0.107,5.0,Household operations,8871.0
2019-01-15,Medical care services,7803.0,525.683,7.0,4.0,Shelter,8742.0
2019-01-15,Professional services,3965.0,380.425,3.259,5.0,Medical care services,7803.0
2019-01-15,Physicians’ services,3292.0,382.155,1.735,6.0,Professional services,3965.0
2019-01-15,Dental services,9008.0,490.657,0.79,6.0,Professional services,3965.0
2019-01-15,Eyeglasses and eye care,7622.0,190.551,0.317,6.0,Professional services,3965.0
2019-01-15,Services by other medical professionals,1206.0,237.356,0.416,6.0,Professional services,3965.0
2019-01-15,Hospital and related services,2710.0,878.518,2.617,5.0,Medical care services,7803.0
2019-01-15,Hospital services,8080.0,336.406,2.335,6.0,Hospital and related services,2710.0
2019-01-15,Inpatient hospital services,4750.0,326.653,1.17,7.0,Hospital services,8080.0
2019-01-15,Outpatient hospital services,6764.0,745.909,1.17,7.0,Hospital services,8080.0
2019-01-15,Nursing homes and adult day services,1344.0,232.758,0.195,6.0,Hospital and related services,2710.0
2019-01-15,Care of invalids and elderly at home,4778.0,122.695,0.088,6.0,Hospital and related services,2710.0
2019-01-15,Health insurance,4532.0,142.869,1.124,5.0,Medical care services,7803.0
2019-01-15,Transportation services,6999.0,323.818,5.962,4.0,Shelter,8742.0
2019-01-15,Leased cars and trucks,1063.0,89.925,0.64,5.0,Transportation services,6999.0
2019-01-15,Car and truck rental,1556.0,130.616,0.108,5.0,Leased cars and trucks,1063.0
2019-01-15,Motor vehicle maintenance and repair,9790.0,290.758,1.13,5.0,Transportation services,6999.0
2019-01-15,Motor vehicle body work,887.0,306.554,0.056,6.0,Motor vehicle maintenance and repair,9790.0
2019-01-15,Motor vehicle maintenance and servicing,7497.0,264.11,0.638,6.0,Motor vehicle maintenance and repair,9790.0
2019-01-15,Motor vehicle repair,1809.0,176.627,0.371,6.0,Motor vehicle maintenance and repair,9790.0
2019-01-15,Motor vehicle insurance,6978.0,571.129,2.407,5.0,Transportation services,6999.0
2019-01-15,Motor vehicle fees,505.0,190.909,0.545,5.0,Transportation services,6999.0
2019-01-15,State motor vehicle registration and license fees,1183.0,179.335,0.28,6.0,Motor vehicle fees,505.0
2019-01-15,Parking and other fees,759.0,209.385,0.247,6.0,Motor vehicle fees,505.0
2019-01-15,Parking fees and tolls,6375.0,236.447,0.1225,7.0,Parking and other fees,759.0
2019-01-15,Public transportation,4134.0,254.915,1.133,5.0,Transportation services,6999.0
2019-01-15,Airline fare,935.0,259.373,0.684,6.0,Public transportation,4134.0
2019-01-15,Other intercity transportation,9574.0,156.918,0.164,6.0,Public transportation,4134.0
2019-01-15,Intercity bus fare,1711.0,140.26,0.055666666666667,7.0,Other intercity transportation,9574.0
2019-01-15,Ship fare,5148.0,64.605,0.055666666666667,7.0,Other intercity transportation,9574.0
2019-01-15,Intracity transportation,2740.0,320.203,0.278,6.0,Public transportation,4134.0
